title,author,year,abstract
"Freedom of information and government records in Kenya, Uganda and Tanzania",Lowry J.,2013,"James Lowry is the Deputy Director of the International Records Management Trust (IRMT). He was the lead researcher on the Aligning Records Management with ICT/e-Government and Freedom of Information in East Africa project, conducted by the IRMT from 2009 to 2011, with funding from the International Development Research Centre. Freedom of Information (FOI) regimes can only be effective if government records are managed well. This article sets out the findings of research conducted in Kenya, Uganda and Tanzania to establish the level of alignment between those governments' FOI aspirations and their records management readiness for FOI. The article sets out a high-level regulatory framework for the effective management of government records in the ICT/e-government and FOI environments to highlight areas that could be addressed, in order to prepare for FOI in the three countries. © 2013 Copyright Australian Society of Archivists Inc."
The zine anthology as archive: archival genres and practices,Lymn J.,2013,"Jessie Lymn is a PhD Candidate at University of Technology Sydney (UTS) and a casual academic in the Information Studies programs at both UTS and Charles Sturt University. Her doctoral research focuses on the archival practices of subcultural communities and how this furthers temporal and spatial understandings of archives. Building on Eichhorn's concept of 'archival genres', this article considers the recent spate of zine anthologies published in Australia and the United States as examples of these genres. It proposes that the anthologies are archives of content, form and practice, given that they commonly reproduce entire zines as visual material, not just text, and are produced by members of zine communities. This article argues that the anthologies' narratives, presentation and distribution preserve ideologies of zine culture and that archival genres create spaces for the preservation of practices. © 2013 Copyright Australian Society of Archivists Inc."
Support by the New South Wales Government for the Archives Authority of New South Wales 1960-98 and State Records New South Wales 1999-2012,Ventress A.,2013,"Despite optimistic pronouncements by successive New South Wales governments since 1961, support for archives and records management in New South Wales is amongst the lowest in Australia. This has led to State Records New South Wales being in breach of its own legislation, because of low levels of funding and the inability to carry out its statutory functions. Numerous reviews of operations have failed to convince the New South Wales Government that recurrent funding for the agency is urgently needed, especially for continuing the Digital State Archive pilot, the preservation of the archives collection and the arrangement and description of the collection. © 2013 Copyright Australian Society of Archivists Inc."
"People, records and power: what archives can learn from WikiLeaks 1",Findlay C.,2013,"The 2012 International Council on Archives congress theme of 'Trust. Archives Supporting Good Governance and Accountability' invited exploration of the nexus between recordkeeping and holding powerful people and organisations to account. By comparing the formation, management and use of a set of records under currently accepted frameworks for recordkeeping in Australia with the formation, management and use of the WikiLeaks Cablegate archive, we can examine how effectively archives and recordkeeping professionals today are meeting their stated goal of upholding accountability, while ensuring the creation of an inclusive societal memory. By analysing these two cases from the point of view of recordkeeping activities supporting appraisal, access, use, trust and authenticity, it is then possible to draw conclusions about lessons that recordkeepers should be learning from WikiLeaks and the changing nature of information generally, if we are to remain relevant and useful as a profession. © 2013 Copyright Australian Society of Archivists Inc."
E-learning with docugames: AE2 Commander,Brogan M.,2013,"Mark Brogan and Martin Masek teach and research in the School of Computer and Security Science at Edith Cowan University. Dr Brogan teaches and researches enterprise information management and digital recordkeeping. With Associate Professor Karen Murcia, Dr Masek coordinates research activity in ECU's Research Centre for Transformational Games. 1 This paper describes outcomes from user acceptance testing of AE2 Commander 2 - a docugame released as alpha software in April 2011 by ECU's Research Centre for Transformational Games. Docugames form a genre of serious games that employ digitised copy of historical sources as part of the game narrative. The design and development of AE2 Commander began in 2009, when the authors received an Ian MacLean Award 3 from the National Archives of Australia (NAA) to build an authentic role-play game based on the exploits of the World War I Australian submarine AE2. The design brief required the designers to develop a strategy for incorporating digitised copy of archival records held by the NAA and to measure the e-learning and engagement outcomes that were achieved with the docugame format. In an earlier Archives and Manuscripts article, the authors introduced the methods and technologies of computer game design and development used to produce AE2 Commander. 4 This paper reviews the learning outcomes that have been achieved with the game and the player reaction to the inclusion of authentic digital recreations of historical source records. The topic is significant within the context of e-learning, but also more generally, as many cultural heritage institutions seek new ways of engaging audiences through the leveraging of serious games. © 2013 Copyright Australian Society of Archivists Inc."
Matters of substance: materiality and meaning in historical records and their digital images,Rekrut A.,2014,"Historical records embody the contexts of their creation and use through time, but their materiality may be perceived as a neutral background to their content. Analogue records are increasingly available online as digital images, and these images may be perceived as surrogates with evidential value equivalent to the source document. This paper presents a set of prompts for developing awareness of materiality in analogue records, and considers how these prompts might be applied to digital images of analogue records. The paper concludes with suggestions for how archives might acknowledge and mitigate some of the limitations of these representations."
"The destinies of literary manuscripts, past present and future",Sutton D.C.,2014,"This essay reviews the ways in which literary manuscripts may be considered to be archivally unique, as well as valuable in all senses of the word, and gives a cautious appraisal of their future in the next 10 to 20 years. It reviews the essential nature of literary manuscripts, and especially the ways in which they form ‘split collections’. This leads to an assessment of the work of the Diasporic Literary Archives network from 2012 to 2014, and some of the key findings. The essay closes with reflections on the future of literary manuscripts in the digital age – emerging trends, research findings, uncertainties and unknowns."
Bathtub philology: Ezra Pound’s annotative realism,Byron M.,2014,"Ezra Pound’s call to ‘Make It New’ spoke a sense of compositional immediacy to his literary contemporaries by way of an ancient motto: the inscription the ancient Shang Dynasty Emperor Ch’eng T’ang (1766–1753 BCE) made on the side of his bathtub and immortalised more than a thousand years later in the Confucian Da Xue (The Great Learning): 薪 日 日 薪 (xin ri ri xin). This is a timely phrase: Modernism Studies, like many areas of literary work, faces extraordinary challenges and opportunities in the digital shift taking place at the levels of textual studies, literary interpretation and literary theory. Pound’s call for a cultural rinascimento demands not only that writers learn from the fullest range of venerable sources and traditions in the course of literary experimentation, but also that their readers sharpen an awareness as to how material forms of inscription directly shape the identity and meaning of texts. This challenge cuts across recent work in textual and manuscript studies, particularly in the representation of complex Modernist texts and their manuscripts (for example the Samuel Beckett Digital Manuscript Project)."
In Jimmy Governor’s archive,Biber K.,2014,"This article examines a selection of archival records created and preserved in relation to the Aboriginal outlaw Jimmy Governor. It focuses in particular upon a special diary kept by the officers guarding him during his time in the condemned cell at Darlinghurst Gaol in 1900–01. The article considers these records and the various microfilm and digital surrogates used by scholars in terms of the affordances of their specific materiality. It advances an argument about how these particular archival records function as evidence of law, duty and public administration. Whereas in the past Jimmy Governor’s story has primarily been told in the genre of law-breaking, this article argues that these archival records instead reveal him as an agent of law-making. When examined as pages and as paper, the various documents that comprise the Jimmy Governor archive provide evidence of a commitment to the rule of law in a colonial society on the brink of Federation."
Remediation as reading: digitising The Western Home Monthly,McGregor H.,2014,"This paper serves as a report from the field in the midst of the collaborative digitisation of The Western Home Monthly (1899–1932), a Winnipeg-based middlebrow magazine. It reflects on the methodological and theoretical challenges that face periodical scholars and on how those challenges are sometimes addressed and sometimes exacerbated by digitisation. Most importantly, it explores the unique reading perspective afforded by the process of digitising an archive, and asks how this process might help to develop new methodologies for reading periodicals that are more attentive to the media-specificity of the middlebrow magazine."
"Literary archives, materiality and the digital",Dever M.,2014,
Beyond digitisation: a case study of three contemporary feminist collections,Eichhorn K.,2014,"Using three contemporary feminist activist collections as case studies, this article challenges assumptions about digital archives and, more generally, digital collections. First, it challenges the widespread perception that so-called digital archives are necessarily democratising. Second, it examines how archivists and special collections librarians may adopt new media platforms, often in surprising ways, even as they avoid the development of large-scale digitisation projects. Finally, and most notably, this article makes a case for recognising how archivists and special collections librarians may use new media platforms to open up access to collections that exceed the narrow scope of digitisation projects. Here, what is foregrounded is not necessarily the limits of digital archives, but rather the limited way in which we continue to think about digital mandates in relation to archives."
Photographs and manuscripts: working in the archive,Dever M.,2014,"This essay opens out a series of questions concerning matter and materiality in the age of the digital via engagement with the literary papers of Australian writer Eve Langley (1904–74), held in the Mitchell Library in Sydney. Among those papers is a single black and white snapshot labelled ‘The Manuscript Cupboard, 1970’, which shows three shelves of a household cupboard filled with exercise books, folders and paper-wrapped parcels. The same collection also contains a series of colour snapshots showing Langley’s manuscripts arranged in a variety of tableaux laid out across her untended lawn. That Langley should have first taken and then preserved such photos is perhaps not surprising given her deep attachment to material conditions of writing and, in particular, to manuscripts and paper. For Langley, to write was quite simply to inhabit paper and she framed the experience of writing as one of immersion, not just in ideas and words, but literally in paper. Framed by a consideration of the anxieties around materiality provoked by the emergence of digital technologies, this essay explores paper’s presence as an integral dimension of the experience of being in the archive and working with original materials."
Building an integrated digital archives (Part II),Lehane R.,2014,
Contrapuntal archival methods,Jones M.,2014,
Full docs or it didn't happen,Findlay C.,2014,
"Indigenous records: Connecting, critiquing and diversifying collections",Thorpe K.,2014,
"Visualising Famagusta: interdisciplinary approaches to the study of the Orthodox Cathedral of Saint George of the Greeks in Famagusta, Cyprus",Norris S.J.,2014,"This paper explores a recent interdisciplinary project which brought together a visualization expert, an art historian, and an architectural historian, to study the ruins of Saint George of the Greeks Cathedral in Famagusta, eastern Cyprus, then create a virtual three-dimensional reconstruction of it. The motivation for this work, funded by Nanyang Technological University in Singapore, was to apply existing knowledge and expertise to a difficult, and very particular, heritage question on this Eastern Mediterranean Island. The creation of such a model could, it was felt, not only reiterate the academic value of thorough archival work married to state of the art technology, but also have very practical reverberations in terms of future heritage welfare and education via this 'borderless' domain. © 2014 Australian Society of Archivists."
Email - a bellwether records system,Waugh A.,2014,
A sea of kites: Pushing access to archives with progressive enhancement,Bacon L.,2014,
Digital archives and metadata as critical infrastructure to keep community memory safe for the future - lessons from Japanese activities,Sugimoto S.,2014,"This paper discusses some key issues for digital archives and metadata in a networked information environment to keep our community memory for the future. The paper is based primarily on the experiences and lessons learnt by the author from his research activities on metadata and digital archives. The author participated in a study group on digital archives hosted by the Ministry of Internal Affairs and Communications of the Japanese Government from February 2011 to March 2012. The group discussed the promotion of digital archives in Japan, particularly at memory institutions. The Great East Japan Earthquake of 11 March 2011 caused serious damage in the north-eastern part of Japan, especially the Pacific coastal regions. This disaster significantly affected the discussions of the group. The basic lesson that the author learned is that digital archives built on a robust information environment are essential for keeping our community memory safe for the future. Not only do the primary digital resources need to be properly maintained and preserved for the future but also secondary resources, metadata and meta-metadata. We need to use Linked Open Data technologies to enhance the usability of such digital resources in the archives. © 2014 Australian Society of Archivists."
In an interconnected world - why do we think in functions?,Parr A.,2014,
Give me a serve of data with that,Funnell A.,2014,
Reinventing the concept of the state archival fond in China,An X.,2014,
Digitising the modern archive,Dean K.,2014,
"Contexts, connections, access: The glorious possibilities of getting it all wrong",Sherratt T.,2014,
Participatory archives in a world of ubiquitous media,Pang N.,2014,
"Archiving the wild, the wild archivist: Bukit Brown Cemetery and Singapore's emerging 'docu-tivists'",Pang N.,2014,"In recent years there has been growing interest in the discipline of computing in relation to cultural heritage, parallel with developments in greater user participation in archives and advances in documentation work. These trends are reflected in the case of a documentation project of an old Chinese cemetery in Singapore, Bukit Brown Cemetery. This case was characterised by tensions among the 'wild' array of emerging individual participants and archivists that took the momentum away from both more formal NGOs and government institutions in documenting, archiving and raising awareness of the heritage of the site when part of it was announced to be set aside for a new highway. The case presents a compelling need for participatory archives, facilitated by computing interventions encouraging public engagement and visits to the site. Being actively involved in the documentation process, the authors reflect on how conceptual frameworks of records may assist in designing new media innovations and informing the ways by which a cemetery may be documented. Through these reflections, the authors argue for the active participation of archivists and records professionals in documentation work, and demonstrate how, in the creation and keeping of records, they shape the collective imagination of the public and other stakeholders in heritage sites. © 2014 Australian Society of Archivists."
Designing dynamic descriptive frameworks,Evans J.,2014,"Cultural heritage professionals use descriptive metadata as a tool to manage and mediate access to the memory texts in their custody. With digital and networking technologies exploding the possibilities for capturing recorded memories and memorialising lives, loves and losses, they can, and should, revolutionise our recordkeeping metadata management frameworks. Embracing the 'archival turn' requires relinquishing our role as the dominant descriptive storyteller, but are our current descriptive models and systems a barrier rather than a facilitator of such a transformation? In this paper the author adopts an autoethnographical approach to explore her experience of developing archival systems since the advent of the Web in the mid-1990s. The story involves a range of metadata schemas and models, questioning their ability to enable the design of interfaces to recorded knowledge and memories that tap into and unleash the dynamic capabilities of the new technologies and their potential to reflect a multiplicity of voices. The paper will contribute to the growing body of literature about the role of archival professionals in shaping recorded memory through their standards and practices, challenging our image as merely silent partners and neutral players. © 2014 Australian Society of Archivists."
Records management for scientific data,Maday C.,2014,
Eternity revisited: In pursuit of a national documentation strategy and a national archival system,Cunningham A.,2014,
People telling stories,Sherman S.,2014,
Rethinking approaches to recordkeeping metadata,Reed B.,2014,
"Convergence, connectivity, ephemeral and performed: new characteristics of digital photographs",Bushey J.,2014,"The recent convergence of digital cameras into mobile phones with Internet connectivity has provided the opportunity for individuals and organisations to adopt new image-making practices. The widespread use of photo-sharing and social networking platforms for sharing, accessing and storing digital photographs is presenting scholars in the social sciences with new areas of research that address the nature of digital photography. By examining the technological, social and cultural factors involved in contemporary image-making practices, scholars are presenting new concepts regarding the characteristics of digital photographs that impact archival activities aimed at managing and preserving trustworthy digital records. This article identifies and discusses the key concepts emerging from social science research on digital photography that are most relevant to the archival field. Analysis of the findings of these studies suggests that new technologies and social practices are changing how people use digital photographs and their expectations of permanence. Therefore, archivists need to be engaged in interdisciplinary discussions regarding the evolution of photographic practices and emerging characteristics of digital photographs in order to anticipate the management and preservation activities required to protect contemporary visual records for future use. © 2014 Australian Society of Archivists."
Broadening the record and expanding the archives,Wright K.,2014,
Reinventing archival methods: Am I part of the problem or part of the solution?,Crookston M.,2014,
Reflections on the promise and pitfalls in reinventing recordkeeping metadata,Evans J.,2014,
Archives as multifaceted narratives: Linking the 'touchstones' of community memory,Battley B.,2014,
From reactive to proactive appraisal,Convery N.,2014,
Reinventing archival methods: Reconceptualising electronic records management as a wicked problem,McLeod J.,2014,
"Keepers of Ghosts: old signs, new media and the age of archival flux",Cianci L.,2014,"The Keepers of Ghosts project began when 10,000 records from a former sign-painting company were rescued from a demolition site in Melbourne's west. Beginning with the creation of an online archive, the project has since developed into an experimental research program of community outreach involving sign writers, shopkeepers, local history aficionados and people interested in 'ghost signs', or the remains of painted advertising signs. Here we discuss the project's investigation of the use of digital media to informally document and share otherwise-forgotten aspects of urban memory, and the proposition that the interplay between digital and physical archival activities can be harnessed to involve and connect diverse groups with shared interests, both at local and global levels. © 2014 Australian Society of Archivists."
Reinventing access,Reed B.,2014,"In 1989 David Bearman threw virtual bombs at the practices of the archival profession. In Australia we responded to the emerging issues of digital recordkeeping influenced by Bearman's challenging analysis. However, access has long been an area somewhat neglected within the Australian recordkeeping profession. Addressing this is core to reconceptualising the access function for the future in the digital environment. © 2014 Australian Society of Archivists."
Collecting the easily missed stories: digital participatory microhistory and the South Asian American Digital Archive,Caswell M.,2014,"This paper defines and delineates the concept of participatory microhistory through an examination of the South Asian American Digital Archive's First Days Project, a community-based online project that solicits short audio, video and written narratives about South Asians immigrants' first day in the United States. First, this paper provides a brief overview of the history of the South Asian American Digital Archive and the First Days Project. Next, this paper highlights three important functions filled by participatory microhistory projects: they generate new records that represent perspectives not commonly found in archives, they convey an important sense of emotion and affect, and they effectively solicit community participation in the archival endeavour. Throughout, this paper explores participatory microhistory projects as tools to harness technology for community empowerment and build support for archives. © 2014 Australian Society of Archivists."
Reinventing Archival Methods,Cumming K.,2014,
Reinventing appraisal,Cumming K.,2014,"In 1986 David Bearman first put the argument that core archival methods of appraisal, description, preservation and access were fundamentally unable to cope with the volumes of records archivists were required to process. He called on the archival profession to completely reinvent its core methods. Noting similar challenges for archival methods in evolving digital business environments, this paper explores how the archival method of appraisal could be reinvented. © 2014 Australian Society of Archivists."
Editorial,Gurciullo S.,2015,
The value of international standards for records management: Perspectives from education and training,Oliver G.,2015,"The article reports the findings from research investigating the impact of international standards for records management. This is a significant issue for the recordkeeping community given the significant resourcing devoted to the development of international standards. Previous attempts to measure impact have met with little success, so this research approached the problem area from a new angle, namely the indirect influence of standards on practice via their use in education and training. Data was collected from a global survey of educators and trainers. Findings demonstrate that the standards are being used extensively at undergraduate and postgraduate level as well as in vocational training. However, a number of barriers to use are identified. The research provides a strong foundation for further investigation of impact and use of the international standards."
Recordkeeping issues arising from the public hearings of the Royal Commission into Institutional Responses to Child Sexual Abuse,Hessami V.,2015,"The Royal Commission into Institutional Responses to Child Sexual Abuse was set up in January 2013 to investigate child sexual abuse in institutional contexts and to focus its recommendations on addressing systemic issues. Recordkeeping issues are at the core of the problems that institutions face when dealing with child sexual abuse although the Royal Commission did not address them systematically in 2013-14. The present article analyses the recordkeeping issues that arose in the public hearings held by the Royal Commission up to October 2014. It shows that recordkeeping issues that appeared in different contexts provide evidence of critical failures in the recordkeeping systems of the institutions under study. It then highlights three implications for professional practice: the need for the professional associations to step up and advocate for a hearing on recordkeeping issues, the importance of putting in place appropriate systems to preserve the records of the Royal Commission, and the need to raise awareness about the complexity of the recordkeeping issues in the institutions that deal with out-of-home care and to develop recordkeeping systems that better meet the needs of the children in care and that support the prevention, detection, reporting and prosecution of child abuse."
The logic of archival authenticity: ISO 15489 and the varieties of forgeries in archives,Kastenhofer J.,2015,"According to ISO 15489, the international standard on records management, the four main characteristics of authoritative records are reliability, integrity, usability and authenticity. In this article, the traits of an ideal record as specified by ISO 15489 are discussed by looking at the opposite of an authentic record - a forgery. By examining the varieties of forgeries found in archives, ranging from forgeries of details to forgeries of entire documents both by record creators and users, the argument is put forth that the difference between an authentic and reliable record and a forgery is not at all obvious. Since forgeries are a regrettable evil of an archive, instead of trying to fix authenticity, more thought should be spared on users’ and archivists’ attitudes towards forgeries and how inauthentic records should be handled in an archive."
For the record: Document and record sensibilities of art conservators in the Philippines,Luyt B.,2015,"In this article the authors present a study of the use of documents by a small group of art conservators in the Philippines. Documents are important for these conservators, but not just, or even primarily, for their role as memory devices. Also important are the functions they play in creating a sense of professional identity, for mediating the tensions created by a bureaucratically structured workplace and an occupation traditionally organised around notions of craftsmanship, and as creators of persuasive evidence for clients."
Editorial,Gurciullo S.,2015,
Transforming archival education,Niu J.,2015,"This paper discusses limitations of the current archival description standard Encoded Archival Description (EAD) and proposes two solutions to overcome these limitations. One solution is to modify the current EAD schema based on the entity–relationship model defined in the Australian Series System. The other solution is to replace EAD with another standard, the Open Archives Initiative Object Reuse and Exchange (OAI-ORE), which can be used to produce more flexible archival descriptions in linked data format."
The development of archives and records management education and training in Africa – Challenges and opportunities,Katuu S.,2015,"The development of education and training opportunities for professionals in the archives and records management (ARM) profession in Africa has been the subject of a number of professional discussions in the past. However, a significant number of recent developments and trends have not been captured in these discussions. This article provides a historical outline and some of the major developments of ARM education and training in Africa. In addition, it traces some of the key challenges educators and trainers currently face. The article demonstrates the diversity that exists in the African continent both in the variety of institutions and the types of qualifications offered in archives and records management. It provides a glimpse of the growth of universities in the continent using the case study of Kenya. While this growth provides greater education and training opportunities, there is a need to examine its impact on quality. The article suggests the strengthening of graduatelevel education as well as participation in global research to mitigate against risks in the quality of ARM education and training."
Original order in the digital world,Niu J.,2015,"This article expands the concept of original order and presents two systematic views of the order of electronic records. In one view, abstract conceptual order can be used as guidance for the physical arrangement of records storage media and intellectual arrangement of records through a software interface. In the second view, organising electronic records entails managing the relationship between electronic records and the paper records in the same collection, between electronic records and their metadata, among different electronic records, as well as managing the relationships among the different copies, different versions and different captures of the same electronic records."
Shaping and reshaping cultural identity and memory: Maximising human rights through a participatory archive,Iacovino L.,2015,"A right to preserve one’s culture is recognised in the United Nations human rights treaty system. Individual and collective cultural identity within government and private archives can be enabled through a participatory approach which acknowledges record subjects as record co-creators. This article analyses cultural human rights instruments found in international and domestic Australian laws as warrants for a participatory archive within the Australian context, premised on the recognition of the rights of those who are subjects of the record to add their own narratives to records held in archival institutions, and to participate as co-creators in decisionmaking about appraisal, access and control, thus shaping and reshaping the archive from their perspective. To this end, it proposes the use of social media to enhance cultural rights and cultural identity. Adopting the principle of rights maximisation, a participatory approach lessens the impact of the right to be forgotten on cultural rights. The article concludes that Australian archival policy makers and jurisdictions which have a human rights regime, have a clear mandate to give priority to the preservation of records of distinctive cultures, in particular those of Indigenous peoples and minorities."
Editorial,Gurciullo S.,2015,
Braille preservation: Recognising and respecting archival materials produced by and for the blind,Sisco L.J.,2015,"There is a noticeable gap in the archival literature concerning the preservation of braille and other tactile print formats that, since the eighteenth century, have been produced by and for blind and visually impaired persons. Based on the insights gained from interviews with information professionals and additional research conducted by the author into the historical usage and production of braille, this paper aims to highlight factors that may affect the preservation and accessibility of braille in archives. While this article will not generate specific preservation guidelines, policies and procedures for braille – measures to be created in a future study – the purpose of this article is to draw an initial awareness to the issues that influence the preservation of and access to these archival records."
Towards archive 2.0: Issues in archival systems interoperability,Rolan G.,2015,"Despite recent developments in archival systems, standards and practice, the delivery of web-based archival services continues to present significant barriers to access by members of the community at large. One cause of this is the lack of web-based archival systems interoperability that would otherwise facilitate discovery of, and access to, records by a broad constituency. Instead, monolithic archival control systems continue to position archives as jurisdictional resources that privilege a research-oriented audience. This paper describes a research project that explored the issues surrounding the development of web-based services for interoperability of archival control systems conformant with the Australian Series System. The study identified a number of significant interoperability challenges for archival systems and provided further evidence that requirements for interoperability must be ‘designed in’ and cannot be retrofitted with reliability or ease. It also identified areas in which conceptual and representational recordkeeping and archival standards could be improved. Current recordkeeping and archival standards appear to be insufficiently prescriptive to ensure interoperability, and do not model all of the required elements to facilitate discovery and access by the members of the wider community. From an organisational perspective, the study found structural barriers to progressing interoperability initiatives for community access."
"Unresolved issues: Recordkeeping recommendations arising from Australian commissions of inquiry into the welfare of children in out-of-home care, 1997–2012",Eberhard K.,2015,"Since the late 1990s, a significant number of commissions of inquiry have been conducted by the Commonwealth Government of Australia, individual states and territories in Australia, and internationally, into the treatment of children in out-of-home care. This paper traces the most significant of these inquiries and the recommendations arising regarding records, with the purpose of highlighting some of the recurring themes identified by each inquiry. An overview is also given of some of the positive changes to aspects of recordkeeping as a direct consequence of the landmark inquiries. Lastly, this overview hopes to raise some questions surrounding the role of the profession in promoting awareness of recordkeeping issues that have emerged through these inquiries."
Editorial,Gurciullo S.,2016,
Living traces – an archive of place: Parramatta girls home,Djuric B.,2016,
From principle to practice: Community consultation regarding access to indigenous language material in archival records at the state library of New South Wales,Nicholls S.,2016,"In the context of Indigenous languages, archival science in Australia continues to move from a theoretical framework of considering record subjects as third parties to a ‘participants model’. In a participants model framework record subjects are considered co-creators and custodians of the intellectual property of the record. However, the shift from theory to practice is still an under-described challenge currently facing archival professionals. This article reports on an experience of applying guidelines developed by First Languages Australia (FLA) and National and State Libraries of Australasia (NSLA) aimed at enhancing the rights of Indigenous Australians over records that contain Indigenous language material. A team of researchers from the State Library of New South Wales (SLNSW) Indigenous Services branch and Western Sydney University engaged with four Indigenous language groups to evaluate records containing Indigenous language material held at the SLNSW. On viewing the archival records of Indigenous language material members of community groups expressed a diversity of opinions and suggestions. This feedback was grouped by the authors into the following themes: painful remembrance of the provenance of the archival record, evaluations of the value of the documents, custodianship and use of the language material, and access to the SLNSW records. The authors found that participants in the study substantially shaped the process of implementing the protocols."
Memory at stake – Swedish private archives in a changing landscape,Hansen L.E.,2016,"Private archival institutions collect records from churches, trade unions, companies, associations and any other non-government organisations. Organisations and associations have played an important role in Swedish public life during the twentieth century, being agents in the process of democratisation and societal change leading to the modern welfare state. Citizens’ influence on politics and administration has to a large extent been channelled through organisations of various kinds. During the second half of the last century, a nationwide network of so-called popular movement archives emerged, initiated by the records creating organisations themselves. These institutions are important complements to the public archives, covering other spheres of society and contributing to preserve the history of everyday life, and political and social development. However, the traditional forms of stable rule-based organisations with structured records creation are dissolving, and being replaced with more loosely connected and continuously changing communities working in an online environment. Furthermore, the last decades have witnessed the emergence of digital information, and most private institutions lack the technological infrastructure and knowledge to receive digital records for long-term preservation. This study explores the developments and current status of popular movement archives in Sweden, and the challenges they are facing, in order to outline a scenario for future development and consequences for future societal memory."
